Permuatation,Time to Complete,Distance Moved,Error
0,1051.954984664917,"(86, -85)",0
0,892.5580978393555,"(110, 3)",0
0,686.1369609832764,"(112, -1)",0
0,954.3890953063965,"(114, -1)",0
0,1148.796796798706,"(112, 6)",0
0,850.5339622497559,"(116, -11)",0
0,795.8331108093262,"(105, 9)",0
0,754.4889450073242,"(120, -12)",0
0,900.2859592437744,"(112, -4)",0
1,952.7349472045898,"(134, -1)",0
1,667.4020290374756,"(146, 6)",0
1,739.5710945129395,"(132, -5)",0
1,981.8549156188965,"(116, -6)",0
1,1311.9478225708008,"(146, 5)",0
2,1792.550802230835,"(225, -60)",0
2,2456.691026687622,"(128, -17)",0
2,2720.494031906128,"(185, 1)",0
2,784.0847969055176,"(130, -16)",0
2,587.4631404876709,"(166, 2)",0
2,764.1472816467285,"(116, -1)",0
2,920.2439785003662,"(175, -5)",0
2,773.7610340118408,"(147, 8)",0
2,1211.3420963287354,"(176, 14)",0
3,785.9609127044678,"(254, -3)",0
3,535.2518558502197,"(212, 0)",0
3,1033.5571765899658,"(184, -1)",0
3,802.1459579467773,"(132, -9)",0
4,1026.7281532287598,"(-78, 11)",0
4,905.9469699859619,"(-78, 4)",0
4,849.370002746582,"(-82, 5)",0
4,8016.8137550354,"(-75, -12)",0
4,1691.823959350586,"(-95, -4)",0
4,1047.4870204925537,"(-76, -1)",0
4,1392.8000926971436,"(-88, 8)",1
4,1420.4070568084717,"(-75, 8)",0
4,936.7690086364746,"(-78, 9)",0
4,823.5950469970703,"(-75, 8)",0
4,765.2509212493896,"(-95, 8)",0
5,778.1209945678711,"(-68, 3)",0
5,1408.830165863037,"(-64, -17)",0
5,722.63503074646,"(-53, -7)",0
5,801.4998435974121,"(-59, -3)",0
5,1170.9530353546143,"(-47, -6)",0
5,821.4120864868164,"(-60, 1)",0
5,701.7500400543213,"(-79, -1)",0
5,577.9519081115723,"(-88, 14)",0
5,611.2687587738037,"(-50, 0)",0
5,552.2398948669434,"(-94, 0)",0
6,594.4559574127197,"(0, 0)",0
6,570.6300735473633,"(0, 0)",0
6,533.4310531616211,"(0, 0)",0
6,592.3080444335938,"(-1, 0)",0
6,918.8716411590576,"(0, 0)",0
6,616.4920330047607,"(0, 0)",0
6,540.4460430145264,"(0, 0)",0
6,684.3693256378174,"(-57, 12)",0
6,626.05881690979,"(-22, 14)",0
6,933.7918758392334,"(0, 0)",0
6,629.8019886016846,"(-35, 12)",0
6,549.4918823242188,"(-45, 0)",0
6,584.4817161560059,"(0, 0)",0
6,459.1848850250244,"(-1, 0)",0
6,733.9611053466797,"(-59, -8)",0
6,613.6229038238525,"(-2, 0)",0
6,698.7872123718262,"(0, 0)",0
7,636.0681056976318,"(0, 0)",0
7,795.75514793396,"(0, 0)",0
7,500.5040168762207,"(0, 0)",0
7,474.81799125671387,"(4, 0)",0
7,539.2489433288574,"(0, 0)",0
7,491.0709857940674,"(42, -1)",0
7,460.5569839477539,"(0, 0)",0
7,662.2378826141357,"(48, -4)",0
7,559.3488216400146,"(29, -6)",0
7,651.1750221252441,"(1, 23)",0
7,396.6200351715088,"(8, 0)",0
7,492.8760528564453,"(-18, 5)",0
7,505.739688873291,"(-61, -1)",0
7,494.0509796142578,"(4, 0)",0
8,1095.1018333435059,"(208, 6)",0
8,1368.6769008636475,"(217, 0)",0
8,1137.484073638916,"(214, -3)",0
8,1237.5929355621338,"(216, 7)",0
8,2567.8462982177734,"(217, 1)",0
8,819.2141056060791,"(210, -6)",0
8,1191.6308403015137,"(221, -6)",0
8,946.6240406036377,"(220, 2)",0
8,1188.5511875152588,"(210, -2)",0
9,1000.4191398620605,"(243, 2)",0
9,1018.3978080749512,"(246, 9)",0
9,863.4929656982422,"(227, -10)",0
9,1145.8208560943604,"(228, 13)",0
9,1080.353021621704,"(211, -9)",0
9,1017.9629325866699,"(220, -8)",0
9,915.3380393981934,"(237, 13)",0
9,1303.9841651916504,"(218, 8)",0
9,1373.8210201263428,"(230, 10)",0
9,693.1600570678711,"(215, 11)",0
10,1243.243932723999,"(253, -12)",0
10,644.9849605560303,"(228, 31)",0
10,583.5139751434326,"(265, 21)",0
10,835.211992263794,"(280, 9)",0
10,834.7940444946289,"(238, -12)",0
10,875.5300045013428,"(264, -28)",0
11,958.6091041564941,"(282, 11)",0
11,1000.1411437988281,"(261, 10)",0
11,752.1390914916992,"(374, -47)",0
11,791.5668487548828,"(251, 0)",0
11,880.760669708252,"(315, -7)",0
12,969.4297313690186,"(-183, 11)",0
12,2808.6280822753906,"(-184, 9)",0
12,2050.595998764038,"(-173, -3)",0
12,1839.1547203063965,"(-196, -8)",0
12,1108.7548732757568,"(-183, 13)",0
12,1103.1160354614258,"(-176, 4)",0
12,1230.20601272583,"(-182, -2)",0
12,1118.9470291137695,"(-193, -3)",0
12,1169.7947978973389,"(-174, -3)",0
12,1661.674976348877,"(-184, -1)",1
12,1845.7012176513672,"(-181, -7)",1
12,1075.5162239074707,"(-182, -6)",0
13,1243.575096130371,"(-147, 7)",0
13,983.8619232177734,"(-175, 9)",0
13,1059.0019226074219,"(-164, 5)",0
13,1487.7018928527832,"(-193, -14)",0
13,807.7611923217773,"(-151, 8)",0
13,817.1021938323975,"(-170, -4)",0
13,976.5310287475586,"(-167, -17)",0
13,1063.7550354003906,"(-155, 14)",0
13,804.8059940338135,"(-149, -14)",0
13,697.2131729125977,"(-145, 2)",0
14,1062.2148513793945,"(-173, 7)",0
14,624.5059967041016,"(-124, 0)",0
14,928.8289546966553,"(-172, 0)",0
14,1218.3218002319336,"(-109, 2)",1
14,618.4561252593994,"(-98, 21)",0
14,644.9799537658691,"(-106, 2)",0
14,551.084041595459,"(-140, 4)",0
14,802.2270202636719,"(-86, 2)",0
14,828.178882598877,"(-85, 24)",0
14,752.7430057525635,"(-142, -11)",0
15,608.2661151885986,"(0, 0)",0
15,1001.7738342285156,"(-1, 0)",0
15,662.7421379089355,"(0, 0)",0
15,587.1989727020264,"(-25, 0)",0
15,525.0222682952881,"(-27, 2)",0
15,7275.0561237335205,"(0, 0)",0
15,522.7980613708496,"(0, 0)",0
15,524.4698524475098,"(-90, -1)",0
15,534.0609550476074,"(-66, 2)",0
15,495.2402114868164,"(6, 0)",0
15,524.8808860778809,"(-78, -4)",0
15,591.6218757629395,"(0, 0)",0
15,513.2479667663574,"(-55, -6)",0
15,467.2510623931885,"(-1, 0)",0
15,545.1719760894775,"(-1, 0)",0
15,492.3257827758789,"(39, -1)",0
15,560.114860534668,"(0, 0)",0
16,1112.1559143066406,"(309, 4)",0
16,1324.0199089050293,"(318, 8)",0
16,1146.1372375488281,"(321, 6)",0
16,800.4851341247559,"(326, 0)",0
16,1412.0559692382812,"(313, -2)",0
16,1306.159257888794,"(309, -6)",0
16,1130.627155303955,"(306, 11)",0
16,1186.272144317627,"(313, 9)",0
16,1565.0959014892578,"(310, 3)",0
17,933.3100318908691,"(310, 6)",0
17,1113.9500141143799,"(307, 1)",0
17,913.3539199829102,"(322, 8)",0
17,994.5409297943115,"(329, -18)",0
17,931.861162185669,"(306, -2)",0
17,703.7479877471924,"(339, 15)",0
17,1265.8908367156982,"(314, -4)",0
17,1185.582160949707,"(329, 10)",0
17,1151.7648696899414,"(333, 1)",0
17,1046.773910522461,"(346, 5)",0
17,1344.7239398956299,"(322, 1)",0
18,853.1570434570312,"(417, -23)",0
18,730.7767868041992,"(351, 18)",0
18,3570.2621936798096,"(381, -29)",0
18,763.6938095092773,"(344, 16)",0
18,1335.9718322753906,"(338, -4)",0
18,1094.9618816375732,"(329, 4)",0
18,758.8760852813721,"(369, 18)",0
18,1016.3750648498535,"(394, -11)",0
19,768.1500911712646,"(367, -4)",0
19,733.3881855010986,"(375, -35)",0
19,1241.3356304168701,"(358, -19)",0
19,641.5791511535645,"(312, -18)",0
19,881.9739818572998,"(479, -33)",0
19,870.9161281585693,"(402, -27)",0
19,914.525032043457,"(345, -26)",0
19,921.818733215332,"(358, 36)",0
19,2552.849054336548,"(360, -96)",0
20,1216.6798114776611,"(-296, -1)",0
20,1075.247049331665,"(-291, 4)",0
20,890.5332088470459,"(-280, -8)",0
20,1064.8620128631592,"(-287, 14)",0
20,1263.7050151824951,"(-298, 8)",0
20,1013.164758682251,"(-281, 7)",0
20,1275.1998901367188,"(-288, 1)",0
20,1028.0828475952148,"(-286, 5)",0
20,1170.5350875854492,"(-283, -3)",0
20,1267.7710056304932,"(-282, 2)",0
21,1363.9061450958252,"(-247, 9)",0
21,950.4060745239258,"(-283, -2)",0
21,878.7891864776611,"(-257, -3)",0
21,993.9219951629639,"(-249, 3)",0
21,780.9028625488281,"(-267, 10)",0
21,1619.6467876434326,"(-271, 10)",1
21,929.8110008239746,"(-247, 2)",0
21,768.3360576629639,"(-255, 5)",0
21,1055.4702281951904,"(-257, -8)",0
21,971.2350368499756,"(-276, -7)",0
21,931.6661357879639,"(-282, 2)",0
21,1052.5507926940918,"(-242, 2)",0
21,1137.7170085906982,"(-285, 18)",0
22,1165.3189659118652,"(-239, 11)",0
22,878.9830207824707,"(-195, 9)",0
22,678.9770126342773,"(-206, -14)",0
22,746.7730045318604,"(-222, -17)",0
22,1002.2680759429932,"(-254, -18)",0
22,774.4438648223877,"(-183, -10)",0
22,793.5841083526611,"(-239, 17)",0
22,982.6681613922119,"(-219, -20)",0
22,995.4719543457031,"(-194, 8)",0
22,1050.795078277588,"(-276, -43)",0
22,931.9808483123779,"(-235, -3)",0
23,778.9397239685059,"(-87, 11)",0
23,714.1571044921875,"(-157, 0)",0
23,1932.59596824646,"(-112, 35)",0
23,554.4829368591309,"(-151, -9)",0
23,662.3630523681641,"(-117, 12)",0
23,616.811990737915,"(-155, 0)",0
23,523.4220027923584,"(-159, 9)",0
23,591.5122032165527,"(-143, 28)",0
