Permuatation,Time to Complete,Distance Moved,Error
0,2402.179718017578,"(0, 0)",2
0,1112.0867729187012,"(0, 0)",0
0,1454.1089534759521,"(0, 0)",1
0,890.0671005249023,"(0, 0)",0
0,1009.0761184692383,"(0, 0)",0
0,1086.080551147461,"(0, 0)",0
0,944.0739154815674,"(0, 0)",0
0,1149.0859985351562,"(0, 0)",0
0,1263.0939483642578,"(0, 0)",0
0,1221.0891246795654,"(0, 0)",0
0,2875.216007232666,"(0, 0)",1
0,1369.1048622131348,"(0, 0)",0
0,908.0698490142822,"(0, 0)",0
0,891.0670280456543,"(0, 0)",0
0,870.065450668335,"(0, 0)",0
0,1421.1084842681885,"(0, 0)",0
1,1406.1048030853271,"(0, 0)",0
1,1213.089942932129,"(0, 0)",0
1,842.0629501342773,"(0, 0)",0
1,1426.6612529754639,"(0, 0)",0
1,1063.0784034729004,"(0, 0)",0
1,1847.6574420928955,"(0, 0)",0
1,765.0606632232666,"(0, 0)",0
1,918.0715084075928,"(0, 0)",0
1,1446.1085796356201,"(0, 0)",2
1,952.0714282989502,"(0, 0)",1
1,783.0581665039062,"(0, 0)",0
1,1010.0781917572021,"(0, 0)",0
2,850.0654697418213,"(0, 0)",0
2,1865.138053894043,"(0, 0)",0
2,624.0475177764893,"(0, 0)",0
3,719.6841239929199,"(0, 0)",0
3,606.0459613800049,"(0, 0)",0
3,1154.5073986053467,"(0, 0)",0
3,813.6246204376221,"(0, 0)",0
3,810.0602626800537,"(0, 0)",0
3,940.0713443756104,"(0, 0)",0
3,531.0389995574951,"(0, 0)",0
3,902.0676612854004,"(0, 0)",0
3,511.03758811950684,"(0, 0)",0
4,1454.3101787567139,"(0, 0)",0
4,916.064977645874,"(0, 0)",0
4,898.0667591094971,"(0, 0)",0
4,1027.0788669586182,"(0, 0)",0
4,1378.101110458374,"(0, 0)",1
4,929.0683269500732,"(0, 0)",0
4,791.0606861114502,"(0, 0)",0
4,1346.1010456085205,"(0, 0)",1
4,1260.0908279418945,"(0, 0)",0
4,1679.7001361846924,"(0, 0)",1
4,1020.0643539428711,"(0, 0)",0
4,1246.0911273956299,"(0, 0)",0
5,1476.1137962341309,"(0, 0)",0
5,1195.1215267181396,"(0, 0)",0
5,1115.0832176208496,"(0, 0)",0
5,789.0586853027344,"(0, 0)",0
5,1085.1049423217773,"(0, 0)",0
5,876.0659694671631,"(0, 0)",0
5,543.0400371551514,"(0, 0)",0
5,1098.8070964813232,"(0, 0)",1
5,934.0670108795166,"(0, 0)",0
5,1372.100591659546,"(0, 0)",0
5,554.0416240692139,"(0, 0)",0
6,749.0580081939697,"(0, 0)",0
6,875.3488063812256,"(0, 0)",0
6,930.0436973571777,"(0, 0)",0
