Permuatation,Time to Complete,Distance Moved,Error
0,1685.0240230560303,"(119, -5)",0
0,1146.5063095092773,"(126, -6)",0
0,1244.2708015441895,"(115, 1)",1
0,669.3849563598633,"(112, -5)",0
0,700.671911239624,"(127, 1)",0
0,1535.923719406128,"(123, -5)",0
0,1151.0400772094727,"(121, 0)",0
0,1357.5046062469482,"(120, -8)",1
1,939.1260147094727,"(123, 5)",0
1,769.1850662231445,"(112, 6)",0
1,1153.2526016235352,"(150, -2)",0
1,1145.280361175537,"(130, 6)",0
1,717.5769805908203,"(112, 7)",0
1,935.0004196166992,"(135, 2)",0
1,1192.7216053009033,"(156, 5)",1
1,706.9299221038818,"(146, -5)",0
1,1048.1548309326172,"(112, -18)",1
1,431.99872970581055,"(117, -11)",0
1,1099.2882251739502,"(103, 9)",1
2,532.9992771148682,"(134, -18)",0
2,595.9956645965576,"(137, 1)",0
2,727.0002365112305,"(106, -17)",0
2,904.9997329711914,"(197, 23)",0
2,1705.4367065429688,"(195, 6)",2
3,787.116289138794,"(224, 12)",0
3,254.64653968811035,"(207, 8)",0
3,824.5537281036377,"(146, -29)",0
3,704.6465873718262,"(188, 31)",0
3,552.7124404907227,"(117, 10)",0
3,586.0016345977783,"(153, 12)",0
3,424.6249198913574,"(237, -9)",0
3,560.8494281768799,"(303, -34)",0
3,434.21483039855957,"(258, -16)",0
3,714.9977684020996,"(222, 61)",0
3,796.8909740447998,"(166, 30)",0
3,990.363597869873,"(306, 45)",0
4,975.5630493164062,"(-82, -1)",0
4,1022.6333141326904,"(-82, -3)",0
4,716.1204814910889,"(-80, 5)",0
4,735.1605892181396,"(-85, -6)",0
4,636.2688541412354,"(-78, -7)",0
4,1321.934700012207,"(-96, -4)",1
4,999.4668960571289,"(-93, -8)",0
4,1141.2467956542969,"(-78, -2)",0
4,1008.2423686981201,"(-80, 1)",0
4,841.4218425750732,"(-72, 7)",0
4,870.9993362426758,"(-82, 2)",0
4,800.1208305358887,"(-87, 4)",0
4,1130.697250366211,"(-81, -6)",0
5,1514.36448097229,"(-54, 4)",0
5,1120.5787658691406,"(-93, -11)",1
5,687.1507167816162,"(-86, 3)",0
5,982.9893112182617,"(-89, -8)",0
5,1025.7301330566406,"(-64, -12)",1
5,1352.11181640625,"(-62, -1)",0
5,898.6594676971436,"(-93, 3)",0
5,743.4806823730469,"(-70, 15)",0
5,762.0029449462891,"(-92, -3)",0
5,850.2218723297119,"(-64, -9)",0
5,860.4762554168701,"(-96, 5)",0
5,1290.99440574646,"(-59, 21)",1
5,1395.9157466888428,"(-56, -5)",1
6,710.5085849761963,"(-42, 14)",0
6,436.2812042236328,"(-7, -13)",0
6,679.5966625213623,"(-25, 3)",0
6,859.1091632843018,"(3, 7)",0
6,1367.2006130218506,"(-55, -32)",0
6,668.0023670196533,"(-60, 16)",0
6,439.178466796875,"(-16, 6)",0
6,647.1695899963379,"(-76, -28)",0
6,902.3098945617676,"(-54, -19)",0
6,671.7936992645264,"(-9, -13)",0
6,552.1612167358398,"(-19, 39)",0
6,702.2302150726318,"(-4, -5)",0
7,612.473726272583,"(-13, 17)",0
7,464.000940322876,"(140, -4)",0
7,447.8485584259033,"(-38, -22)",0
7,446.7194080352783,"(55, -8)",0
7,1130.8083534240723,"(21, 5)",1
7,525.5126953125,"(54, 8)",0
7,618.2725429534912,"(61, 4)",0
7,431.0004711151123,"(9, 3)",0
7,1049.0047931671143,"(0, -3)",1
7,493.99805068969727,"(50, 4)",0
8,969.5603847503662,"(228, 1)",1
8,1024.172306060791,"(218, -11)",0
