Permuatation,Time to Complete,Distance Moved,Error
0,756.4487457275391,"(118, -3)",0
0,725.313663482666,"(126, 2)",0
0,740.7746315002441,"(110, 4)",0
0,645.4155445098877,"(126, -5)",0
0,735.9399795532227,"(111, 0)",0
0,632.277250289917,"(113, 1)",0
0,704.8797607421875,"(123, 0)",0
0,741.4462566375732,"(112, 4)",0
0,732.3672771453857,"(101, -3)",0
0,674.0961074829102,"(119, -2)",0
1,607.1240901947021,"(142, -2)",0
1,557.5814247131348,"(153, 8)",0
1,1076.019048690796,"(151, 11)",1
1,728.8763523101807,"(125, -1)",0
1,622.6999759674072,"(139, -8)",0
2,523.3097076416016,"(146, 4)",0
2,461.4222049713135,"(128, 12)",0
2,594.5742130279541,"(119, -5)",0
2,472.9781150817871,"(140, -1)",0
2,473.04368019104004,"(148, -12)",0
2,547.5232601165771,"(151, 0)",0
2,500.6401538848877,"(181, 11)",0
2,450.908899307251,"(149, -7)",0
3,524.709939956665,"(146, 4)",0
3,432.1305751800537,"(194, 9)",0
3,500.7054805755615,"(191, 8)",0
3,416.69392585754395,"(259, -5)",0
3,403.4461975097656,"(241, -6)",0
3,401.8259048461914,"(226, -2)",0
3,474.2546081542969,"(130, 5)",0
4,728.7101745605469,"(-91, -1)",0
4,635.5011463165283,"(-89, 1)",0
4,874.1357326507568,"(-81, -2)",0
4,804.7904968261719,"(-95, 6)",0
4,630.0094127655029,"(-95, 0)",0
4,683.3319664001465,"(-88, -7)",0
4,532.5212478637695,"(-77, -4)",0
4,746.7989921569824,"(-81, 2)",0
4,721.2948799133301,"(-96, 3)",0
4,719.2385196685791,"(-95, -3)",0
4,557.227611541748,"(-90, -1)",0
4,671.7476844787598,"(-78, -4)",0
4,1686.9714260101318,"(-88, 8)",2
5,558.3279132843018,"(-66, -6)",0
5,401.4413356781006,"(-78, -11)",0
5,554.7242164611816,"(-67, 9)",0
5,437.75105476379395,"(-52, -5)",0
5,430.0546646118164,"(-51, 3)",0
5,403.6402702331543,"(-53, -4)",0
5,531.8150520324707,"(-68, -8)",0
5,507.63750076293945,"(-87, -2)",0
5,439.70799446105957,"(-68, 7)",0
5,499.8619556427002,"(-52, -10)",0
5,436.0013008117676,"(-52, 9)",0
5,357.18822479248047,"(-60, -2)",0
5,524.9149799346924,"(-67, -7)",0
6,529.8082828521729,"(2, 3)",0
6,551.3198375701904,"(-55, -5)",0
6,481.1835289001465,"(-60, 11)",0
6,502.0108222961426,"(-50, 5)",0
6,468.0197238922119,"(-22, 22)",0
6,367.8920269012451,"(-10, 10)",0
6,481.7180633544922,"(12, -3)",0
6,356.72807693481445,"(-27, -1)",0
6,451.59077644348145,"(21, -13)",0
6,518.5010433197021,"(-80, -14)",0
7,720.9537029266357,"(-31, 12)",0
7,393.18251609802246,"(28, 44)",0
7,367.5398826599121,"(11, 0)",0
7,501.8157958984375,"(28, -1)",0
7,385.530948638916,"(-18, 2)",0
7,452.4052143096924,"(-34, -3)",0
7,446.7732906341553,"(23, -1)",0
7,399.63746070861816,"(35, 1)",0
7,377.0875930786133,"(35, -8)",0
7,398.5745906829834,"(-20, 2)",0
8,-155.5187702178955,"(231, 2)",0
8,800.5168437957764,"(216, 1)",0
8,916.4364337921143,"(208, -1)",0
8,731.6122055053711,"(216, 1)",0
8,845.7889556884766,"(225, 1)",0
8,593.6532020568848,"(213, -1)",0
8,574.1662979125977,"(220, 3)",0
8,806.297779083252,"(219, -6)",0
8,602.9536724090576,"(223, -1)",0
9,556.2491416931152,"(243, 10)",0
9,770.3700065612793,"(223, 9)",0
9,720.8120822906494,"(223, -1)",0
9,676.6571998596191,"(256, -10)",0
9,705.5213451385498,"(242, -11)",0
9,675.0104427337646,"(239, -3)",0
9,667.8006649017334,"(215, -4)",0
9,545.6132888793945,"(205, 7)",0
9,583.9693546295166,"(232, 6)",0
9,657.4568748474121,"(229, 1)",0
10,658.6084365844727,"(264, 12)",0
10,650.1314640045166,"(259, -1)",0
10,522.1154689788818,"(269, 17)",0
10,631.3235759735107,"(284, 5)",0
10,532.8371524810791,"(216, -4)",0
10,603.7700176239014,"(242, 12)",0
10,583.5013389587402,"(240, -7)",0
10,567.8267478942871,"(218, -6)",0
10,506.2518119812012,"(254, 9)",0
10,718.0004119873047,"(226, 19)",0
11,540.6997203826904,"(200, -2)",0
11,576.6046047210693,"(227, 17)",0
11,492.94281005859375,"(202, 4)",0
11,399.6586799621582,"(217, 10)",0
11,628.5154819488525,"(261, 7)",0
11,587.7881050109863,"(231, -14)",0
11,513.5807991027832,"(207, -6)",0
11,499.1607666015625,"(298, -10)",0
11,627.464771270752,"(253, -6)",0
11,407.58252143859863,"(267, 7)",0
11,395.71309089660645,"(340, 0)",0
12,709.4085216522217,"(-192, 0)",0
12,663.672924041748,"(-180, 0)",0
12,732.048749923706,"(-198, -4)",0
12,790.3494834899902,"(-187, 5)",0
13,572.5784301757812,"(-160, -1)",0
13,666.7172908782959,"(-154, -2)",0
13,645.1318264007568,"(-155, -5)",0
13,595.2355861663818,"(-176, 2)",0
13,722.4826812744141,"(-165, 3)",0
13,616.7871952056885,"(-145, 6)",0
13,581.2079906463623,"(-174, -15)",0
14,569.1075325012207,"(-115, 14)",0
14,377.51221656799316,"(-131, 1)",0
14,552.9756546020508,"(-85, -5)",0
14,518.2631015777588,"(-137, 2)",0
15,427.22439765930176,"(-130, -4)",0
15,509.74535942077637,"(-126, -2)",0
15,442.05212593078613,"(9, -10)",0
15,414.1051769256592,"(6, 0)",0
15,466.0000801086426,"(-97, -6)",0
15,432.5900077819824,"(8, -2)",0
15,432.94525146484375,"(-46, 6)",0
15,470.9310531616211,"(-3, 10)",0
15,384.1884136199951,"(-46, 15)",0
15,382.8928470611572,"(26, -4)",0
16,1207.66019821167,"(316, 4)",1
16,1049.5829582214355,"(318, -4)",0
16,777.1346569061279,"(322, 4)",0
16,1009.0978145599365,"(314, 2)",0
16,691.7376518249512,"(314, 3)",0
16,905.0917625427246,"(316, -1)",0
16,926.4342784881592,"(319, 5)",0
16,978.6744117736816,"(315, -3)",0
16,843.8160419464111,"(318, 0)",0
16,643.7945365905762,"(314, 6)",0
17,882.7259540557861,"(315, -2)",0
17,655.6174755096436,"(323, -1)",0
17,946.1085796356201,"(337, 11)",0
17,649.2226123809814,"(332, 2)",0
17,563.7633800506592,"(328, 13)",0
17,621.7081546783447,"(319, 9)",0
17,852.8566360473633,"(358, -4)",0
17,859.161376953125,"(306, 5)",0
17,800.7161617279053,"(327, -2)",0
17,707.11350440979,"(338, 9)",0
17,811.7787837982178,"(319, 6)",0
17,824.749231338501,"(320, 6)",0
17,1340.108871459961,"(327, -1)",1
18,623.7697601318359,"(329, 7)",0
18,655.4787158966064,"(346, 17)",0
18,503.9205551147461,"(324, 5)",0
18,493.5929775238037,"(338, 15)",0
18,571.0492134094238,"(337, 0)",0
18,676.9013404846191,"(358, 7)",0
18,923.7489700317383,"(337, -1)",0
18,701.0588645935059,"(370, 6)",0
18,399.24168586730957,"(350, -1)",0
19,457.3547840118408,"(367, 15)",0
19,726.2547016143799,"(348, 16)",0
19,726.0472774505615,"(323, 7)",0
19,482.5012683868408,"(345, 20)",0
19,637.1448040008545,"(411, 5)",0
19,509.8283290863037,"(334, 6)",0
19,740.2498722076416,"(397, 17)",0
19,748.3994960784912,"(372, 0)",0
20,926.7315864562988,"(-300, 0)",0
20,959.0375423431396,"(-297, 3)",0
20,855.7209968566895,"(-285, 0)",0
20,867.6095008850098,"(-278, 0)",0
20,1834.1217041015625,"(-292, -4)",2
20,926.7988204956055,"(-281, 1)",0
20,869.4412708282471,"(-289, -3)",0
20,848.2077121734619,"(-295, 3)",0
20,1155.773639678955,"(-288, -4)",1
20,824.6183395385742,"(-279, 2)",0
20,884.3765258789062,"(-291, -3)",0
20,874.3736743927002,"(-284, 5)",0
20,708.1716060638428,"(-284, 0)",0
20,881.6580772399902,"(-270, 8)",0
20,893.4237957000732,"(-281, 1)",0
20,988.1885051727295,"(-290, 0)",0
20,970.8962440490723,"(-290, 5)",0
20,607.7611446380615,"(-283, -3)",0
21,710.9038829803467,"(-273, -3)",0
21,690.7870769500732,"(-250, 3)",0
21,769.3312168121338,"(-268, 3)",0
21,616.8055534362793,"(-261, -8)",0
21,614.8886680603027,"(-265, -10)",0
21,691.1177635192871,"(-285, 5)",0
21,918.5400009155273,"(-261, -12)",0
21,631.8068504333496,"(-287, -10)",0
21,855.4403781890869,"(-271, 0)",0
21,742.0544624328613,"(-287, 2)",0
22,477.7557849884033,"(-214, -8)",0
22,446.7031955718994,"(-217, -1)",0
22,566.5180683135986,"(-204, -10)",0
22,493.47901344299316,"(-241, -10)",0
22,461.41791343688965,"(-217, -9)",0
22,650.5126953125,"(-192, -2)",0
22,502.6397705078125,"(-200, -6)",0
22,461.0328674316406,"(-183, 3)",0
22,451.2002468109131,"(-221, -1)",0
22,535.6423854827881,"(-199, 1)",0
23,441.85805320739746,"(-84, 3)",0
23,383.43262672424316,"(-78, -24)",0
23,474.87568855285645,"(-169, -9)",0
23,345.0300693511963,"(-72, -3)",0
23,503.5393238067627,"(-112, 24)",0
23,398.1049060821533,"(-95, -12)",0
23,513.6361122131348,"(-72, 8)",0
23,490.5691146850586,"(-180, -2)",0
23,416.95499420166016,"(-220, -14)",0
23,503.9989948272705,"(-112, 1)",0
23,450.15573501586914,"(-117, 8)",0
24,988.461971282959,"(418, 8)",0
24,1147.343635559082,"(410, -3)",0
24,982.0642471313477,"(419, -4)",0
24,1049.7956275939941,"(402, 4)",0
24,987.7076148986816,"(430, 10)",0
24,855.2989959716797,"(419, 5)",0
24,1052.1984100341797,"(426, 3)",0
24,879.1658878326416,"(409, 9)",0
24,1195.0464248657227,"(422, 11)",0
24,1512.8793716430664,"(421, 3)",1
24,963.0961418151855,"(427, 0)",0
24,1105.0729751586914,"(417, 0)",0
24,1056.01167678833,"(418, 3)",0
24,873.422384262085,"(427, -5)",0
24,736.7637157440186,"(425, 4)",0
24,955.95383644104,"(426, 2)",0
24,831.3798904418945,"(417, 6)",0
25,836.9302749633789,"(428, 12)",0
25,855.3640842437744,"(410, 5)",0
25,1077.6302814483643,"(430, 3)",0
25,781.2042236328125,"(438, 6)",0
25,813.5268688201904,"(432, -2)",0
25,627.6309490203857,"(438, 9)",0
25,895.8308696746826,"(442, 3)",0
25,750.1122951507568,"(420, 5)",0
25,1137.5384330749512,"(408, 8)",0
25,781.416654586792,"(447, 10)",0
26,835.2503776550293,"(456, -8)",0
26,902.132511138916,"(446, -10)",0
26,684.185266494751,"(436, 6)",0
26,732.8648567199707,"(457, 13)",0
26,762.1626853942871,"(414, -2)",0
26,676.0070323944092,"(466, 5)",0
26,567.8739547729492,"(414, 17)",0
26,632.2650909423828,"(475, 9)",0
26,1108.6721420288086,"(510, 5)",1
26,761.3561153411865,"(484, 1)",0
27,1369.9018955230713,"(456, -73)",0
27,698.9469528198242,"(479, 16)",0
27,781.6786766052246,"(471, -5)",0
27,607.0077419281006,"(426, 7)",0
27,567.2714710235596,"(442, -10)",0
27,798.5177040100098,"(476, -10)",0
27,705.9798240661621,"(525, 11)",0
27,531.3773155212402,"(409, 13)",0
27,463.81592750549316,"(410, 5)",0
28,823.7447738647461,"(-388, -1)",0
28,925.4162311553955,"(-386, 5)",0
28,789.1056537628174,"(-391, 2)",0
28,1044.4488525390625,"(-373, 6)",0
28,992.9206371307373,"(-389, 8)",1
28,797.4739074707031,"(-380, -4)",0
28,789.3166542053223,"(-398, 5)",0
28,963.7494087219238,"(-393, 5)",0
28,721.5356826782227,"(-391, 0)",0
28,774.1119861602783,"(-387, -4)",0
28,941.7243003845215,"(-391, 2)",0
28,1035.8564853668213,"(-388, 2)",0
28,660.1006984710693,"(-391, -10)",0
28,1031.3961505889893,"(-396, 5)",0
29,908.0696105957031,"(-364, 10)",0
29,624.8064041137695,"(-381, -7)",0
29,818.5639381408691,"(-349, 6)",0
29,695.0128078460693,"(-399, 0)",0
29,794.4676876068115,"(-372, 0)",0
29,667.4544811248779,"(-374, -5)",0
29,882.2784423828125,"(-370, 10)",0
29,648.162841796875,"(-353, -6)",0
29,616.8744564056396,"(-371, -5)",0
29,653.9511680603027,"(-368, -4)",0
29,745.6960678100586,"(-352, 14)",0
30,504.26793098449707,"(-279, 1)",0
30,552.985668182373,"(-288, 4)",0
30,578.2630443572998,"(-313, -13)",0
30,813.19260597229,"(-327, 26)",0
30,705.0435543060303,"(-302, 1)",0
30,635.185718536377,"(-280, -16)",0
31,507.2517395019531,"(-148, -5)",0
31,484.1187000274658,"(-223, -16)",0
31,959.3274593353271,"(-177, 4)",1
31,585.5443477630615,"(-222, -5)",0
31,416.34368896484375,"(-252, -27)",0
31,532.2089195251465,"(-216, -23)",0
31,416.5971279144287,"(-260, -22)",0
31,441.143274307251,"(-180, -11)",0
31,441.4663314819336,"(-216, -11)",0
31,433.76708030700684,"(-286, 1)",0
31,495.74756622314453,"(-161, 18)",0
31,424.1476058959961,"(-194, -7)",0
31,505.1875114440918,"(-218, 8)",0
